RK,Player,Pos,Team,Bye,ADP,Tier,P50,P75,P90,150+,200+,250+,300+,350+,DT,OU_PassYds,OU_PassTDs,OU_RushYds,OU_RushTDs,OU_RecYds,OU_RecTDs,Odds_MostPassYds,Odds_MostPassTDs,Odds_MostRushYds,Odds_MostRushTDs,Odds_MostRecYds,Odds_MostRecTDs,PassYds,PassTDs,RushYds,RushTDs,RecYds,Rec,RecTDs,#1,Top3,Top5,Top12
1,Jahmyr Gibbs,RB,DET,6,1,Elite,317,377,442,96.9,96.8,82.2,58.4,34.4,1.663,,,1225.5,12.5,440.5,3.5,,,+700,+500,+30000,+20000,,,1226,12.5,441,55,3.5,20.5,44.7,61.5,89.6
2,Bijan Robinson,RB,ATL,11,2,Elite,308,368,431,97.0,96.0,79.4,54.2,31.1,1.827,,,1150.5,8.5,575.5,3.5,,,+650,+1500,+25000,+20000,,,1151,8.5,576,65,3.5,16.4,40.6,57.6,87.2
3,Ja'Marr Chase,WR,CIN,6,3,Elite,292,330,367,98.5,98.5,80.2,44.1,15.9,1.005,,,,,1300.5,9.5,,,,,+600,+550,,,12,0.1,1301,104,9.5,18.1,46.1,64.9,91.8
4,Puka Nacua,WR,LAR,11,4,Elite,305,343,382,99.2,99.2,87.0,54.2,21.5,1.043,,,,,1350.5,8.5,,,,,+550,+800,,,105,0.5,1351,105,8.5,25.3,57.0,74.6,95.2
5,Christian McCaffrey,RB,SF,8,6,Elite,296,353,414,95.7,93.4,73.8,48.5,26.0,2.364,,,950.5,8.5,575.5,4.5,,,+2366,+1600,+15000,+15000,,,951,8.5,576,66,4.5,13.3,35.4,51.0,83.4
6,Jaxon Smith-Njigba,WR,SEA,11,6,Elite,286,322,359,97.6,97.6,76.9,39.0,12.7,1.008,,,,,1325.5,8.5,,,,,+600,+800,,,19,0.1,1326,99,8.5,14.8,40.9,59.8,89.4
7,Brock Bowers,TE,LV,13,7,Elite,263,307,353,97.0,89.2,58.7,28.3,10.7,1,,,,,900.5,7.5,,,,,+5000,+3000,,,,,901,85,7.5,28.3,67.1,83.3,97.7
8,Amon-Ra St. Brown,WR,DET,6,8,Elite,289,327,367,98.5,98.5,80.1,41.4,15.0,1.018,,,,,1250.5,9.5,,,,,+850,+700,,,42,0.2,1251,103,9.5,17.2,43.6,63.5,91.7
9,Jonathan Taylor,RB,IND,13,9,Elite,259,307,361,92.2,84.3,55.9,28.5,11.9,1.324,,,1250.5,11.5,,,,,+575,+525,,+50000,,,1251,11.5,255,35,1,5.5,17.8,30.7,67.3
10,Ashton Jeanty,RB,LV,13,11,Strong,239,284,331,87.9,75.3,43.9,18.8,6.6,1.938,,,950.5,7.5,350.5,,,,+2466,+3000,+50000,+30000,,,951,7.5,351,56,1.4,2.1,10.7,20.4,55.6
11,Trey McBride,TE,ARI,14,12,Elite,288,335,379,97.0,95.4,74.8,43.3,19.1,1,,,,,1000.5,6.5,,,,,+4000,+4500,,,,,1001,100,6.5,46.2,81.9,91.7,99.3
12,James Cook,RB,BUF,7,12,Elite,280,333,391,94.8,90.5,67.5,38.8,19.8,1.524,,,1250.5,10.5,,,,,+600,+800,,,,,1251,10.5,396,44,1.6,9.6,27.1,42.0,77.7
13,Justin Jefferson,WR,MIN,6,13,Elite,253,284,315,97.0,91.0,53.0,15.9,3.3,1.006,,,,,1150.5,7.5,,,,,+1200,+1500,,,13,0.1,1151,92,7.5,3.7,17.3,33.1,72.6
14,CeeDee Lamb,WR,DAL,14,14,Elite,261,295,328,97.0,93.9,60.1,22.1,4.9,1.037,,,,,1175.5,7.5,,,,,+1100,+1000,,,82,0.4,1176,90,7.5,6.1,23.2,40.3,78.6
15,Omarion Hampton,RB,LAC,7,16,Strong,254,303,352,90.7,81.7,52.6,26.2,10.6,1.729,,,925.5,7.5,,,,,+2500,+2000,,,,,926,7.5,402,67,1.6,4.4,15.4,28.3,64.0
16,Chase Brown,RB,CIN,6,16,Strong,236,279,328,88.0,74.6,40.3,17.5,6.5,1.927,,,850.5,6.5,,,,,+4000,+4000,,+50000,,,851,6.5,419,60,1.7,2.3,10.0,18.7,52.3
17,De'Von Achane,RB,MIA,6,17,Strong,239,284,331,88.4,75.8,42.5,18.9,6.9,1.925,,,1000.5,5.5,400.5,,,,+1200,+6600,+15000,+25000,,,1001,5.5,401,54,1.6,2.6,10.8,20.7,54.8
18,Saquon Barkley,RB,PHI,10,17,Strong,223,264,307,83.6,66.0,32.6,12.2,3.5,1.654,,,1100.5,7.5,250.5,,,,+800,+1400,+45000,+40000,,,1101,7.5,251,36,1,1.5,6.2,13.2,43.0
19,Kenneth Walker,RB,KC,5,19,Good,211,250,292,79.8,58.2,25.1,8.5,2.6,1.488,,,950.5,7.5,,,,,+2500,+1600,,,,,951,7.5,276,36,1.1,0.9,4.2,10.0,35.9
20,A.J. Brown,WR,NE,11,20,Strong,236,265,294,95.9,82.3,37.2,8.1,1.0,1.008,,,,,1125.5,7.5,,,,,+2000,+1500,,,16,0.1,1126,76,7.5,2.1,8.2,18.9,57.0
21,Drake London,WR,ATL,11,21,Elite,249,283,314,97.0,90.0,49.2,15.2,2.7,1,,,,,1150.5,7.5,,,,,+1500,+2000,,,,,1151,90,7.5,3.7,16.4,30.6,69.7
22,Colston Loveland,TE,CHI,10,22,Elite,204,238,271,81.9,53.5,18.6,3.9,0.8,1,,,,,775.5,5.5,,,,,+8000,+5000,,,,,776,63,5.5,4.6,23.1,42.6,81.6
